model,make,year,price,mileage,fuel_type,transmission,body_type,condition,seat,color,features,description,image_url
Sorento,Kia,2016,225000,111340,Gasoline,Automatic,SUV,foreign_used,7,White,All-Wheel Drive,"2016 Kia Sorento (foreign used), a well-priced suv well suited to family trips and weekend getaways — a good fit for family-oriented drivers. Comes with all-wheel drive.",
Sorento,Kia,2015,239500,146457,Gasoline,Automatic,SUV,foreign_used,7,White,All-Wheel Drive,"2015 Kia Sorento (foreign used), a well-priced suv well suited to family trips and weekend getaways — a good fit for family-oriented drivers. Comes with all-wheel drive.",
Sonoma,GMC,2003,133000,248003,Gasoline,Automatic,Truck,local_used,2,Gray,,"2003 GMC Sonoma (locally used), a budget-friendly truck well suited to hauling and rough roads — a good fit for adventure seekers.",
Explorer,Ford,2015,248500,136383,Gasoline,Automatic,SUV,foreign_used,7,Silver,,"2015 Ford Explorer (foreign used), a well-priced suv well suited to family trips and weekend getaways — a good fit for family-oriented drivers.",
Explorer Sport Trac,Ford,2010,229000,189701,Gasoline,Automatic,Truck,foreign_used,2,Gray,,"2010 Ford Explorer Sport Trac (foreign used), a well-priced truck well suited to hauling and rough roads — a good fit for adventure seekers.",
Expo,Mitsubishi,1993,28000,280000,Gasoline,Manual,Hatchback,local_used,5,White,All-Wheel Drive,"1993 Mitsubishi Expo (locally used), a budget-friendly hatchback well suited to quick city runs and easy parking — a good fit for budget-conscious buyers. Comes with all-wheel drive.",
Expo,Mitsubishi,1994,31000,280000,Gasoline,Manual,Hatchback,foreign_used,5,Blue,All-Wheel Drive,"1994 Mitsubishi Expo (foreign used), a budget-friendly hatchback well suited to quick city runs and easy parking — a good fit for budget-conscious buyers. Comes with all-wheel drive.",
Explorer,Ford,2017,252500,120559,Gasoline,Automatic,SUV,foreign_used,7,Silver,,"2017 Ford Explorer (foreign used), a well-priced suv well suited to family trips and weekend getaways — a good fit for family-oriented drivers.",
Explorer,Ford,2016,269000,102896,Gasoline,Automatic,SUV,foreign_used,7,Silver,,"2016 Ford Explorer (foreign used), a well-priced suv well suited to family trips and weekend getaways — a good fit for family-oriented drivers.",
Express,Chevrolet,2016,356000,91871,Gasoline,Automatic,Wagon,foreign_used,5,Silver,,"2016 Chevrolet Express (foreign used), a premium wagon well suited to family trips with plenty of cargo room — a good fit for family-oriented drivers.",
Express,Chevrolet,2014,325000,126883,Gasoline,Automatic,Wagon,foreign_used,5,Blue,,"2014 Chevrolet Express (foreign used), a premium wagon well suited to family trips with plenty of cargo room — a good fit for family-oriented drivers.",
Express,Chevrolet,2015,302500,138275,Gasoline,Automatic,Wagon,foreign_used,5,Silver,,"2015 Chevrolet Express (foreign used), a premium wagon well suited to family trips with plenty of cargo room — a good fit for family-oriented drivers.",
Expo,Mitsubishi,1995,33500,280000,Gasoline,Automatic,Hatchback,local_used,5,Silver,All-Wheel Drive,"1995 Mitsubishi Expo (locally used), a budget-friendly hatchback well suited to quick city runs and easy parking — a good fit for budget-conscious buyers. Comes with all-wheel drive.",
Express Cargo,Chevrolet,2014,294500,143738,Gasoline,Automatic,Wagon,foreign_used,5,Orange,All-Wheel Drive,"2014 Chevrolet Express Cargo (foreign used), a premium wagon well suited to family trips with plenty of cargo room — a good fit for family-oriented drivers. Comes with all-wheel drive.",
Sonoma,GMC,2002,138000,280000,Gasoline,Automatic,Truck,foreign_used,2,Gray,,"2002 GMC Sonoma (foreign used), a budget-friendly truck well suited to hauling and rough roads — a good fit for adventure seekers.",
Sonic,Chevrolet,2017,103000,99049,Gasoline,Manual,Hatchback,foreign_used,5,Black,,"2017 Chevrolet Sonic (foreign used), a well-priced hatchback well suited to quick city runs and easy parking — a good fit for budget-conscious buyers.",
Sonic,Chevrolet,2016,87000,136255,Gasoline,Manual,Hatchback,local_used,5,Gray,,"2016 Chevrolet Sonic (locally used), a well-priced hatchback well suited to quick city runs and easy parking — a good fit for budget-conscious buyers.",
F-150,Ford,2015,335500,106035,Gasoline,Automatic,Truck,local_used,2,Black,All-Wheel Drive,"2015 Ford F-150 (locally used), a premium truck well suited to hauling and rough roads — a good fit for adventure seekers. Comes with all-wheel drive.",
F-150 SVT Lightning,Ford,1999,116500,255172,Gasoline,Automatic,Truck,foreign_used,2,White,,"1999 Ford F-150 SVT Lightning (foreign used), a budget-friendly truck well suited to hauling and rough roads — a good fit for adventure seekers.",
F-150 SVT Lightning,Ford,2000,128500,280000,Gasoline,Automatic,Truck,local_used,2,Silver,,"2000 Ford F-150 SVT Lightning (locally used), a budget-friendly truck well suited to hauling and rough roads — a good fit for adventure seekers.",
F-150,Ford,2016,342500,119729,Gasoline,Automatic,Truck,foreign_used,2,Red,,"2016 Ford F-150 (foreign used), a premium truck well suited to hauling and rough roads — a good fit for adventure seekers.",
F-150,Ford,2017,346500,118174,Gasoline,Automatic,Truck,foreign_used,2,Red,,"2017 Ford F-150 (foreign used), a premium truck well suited to hauling and rough roads — a good fit for adventure seekers.",
Sonic,Chevrolet,2015,96500,127699,Gasoline,Manual,Hatchback,foreign_used,5,Black,,"2015 Chevrolet Sonic (foreign used), a well-priced hatchback well suited to quick city runs and easy parking — a good fit for budget-conscious buyers.",
Sonata,Hyundai,2017,181000,94306,Gasoline,Automatic,Sedan,foreign_used,5,Silver,,"2017 Hyundai Sonata (foreign used), a well-priced sedan well suited to daily commuting and city driving — a good fit for urban professionals.",
Sonata,Hyundai,2016,162500,139146,Gasoline,Automatic,Sedan,foreign_used,5,White,,"2016 Hyundai Sonata (foreign used), a well-priced sedan well suited to daily commuting and city driving — a good fit for urban professionals.",
Sonata,Hyundai,2015,164500,151761,Gasoline,Automatic,Sedan,local_used,5,Orange,,"2015 Hyundai Sonata (locally used), a well-priced sedan well suited to daily commuting and city driving — a good fit for urban professionals.",
Sonata Hybrid,Hyundai,2016,181000,131682,Gasoline,Automatic,Sedan,foreign_used,5,Orange,,"2016 Hyundai Sonata Hybrid (foreign used), a well-priced sedan well suited to daily commuting and city driving — a good fit for urban professionals.",
Sonata Hybrid,Hyundai,2017,169000,95696,Gasoline,Automatic,Sedan,local_used,5,Gray,,"2017 Hyundai Sonata Hybrid (locally used), a well-priced sedan well suited to daily commuting and city driving — a good fit for urban professionals.",
Solstice,Pontiac,2009,167500,213204,Gasoline,Manual,Coupe,foreign_used,4,Blue,,"2009 Pontiac Solstice (foreign used), a budget-friendly coupe well suited to weekend drives and spirited handling — a good fit for lifestyle-focused drivers.",
Sonata Hybrid,Hyundai,2015,166500,122824,Gasoline,Automatic,Sedan,foreign_used,5,Gray,,"2015 Hyundai Sonata Hybrid (foreign used), a well-priced sedan well suited to daily commuting and city driving — a good fit for urban professionals.",
F12 Berlinetta,Ferrari,2013,427000,124143,Gasoline,Automatic,Coupe,foreign_used,4,Silver,,"2013 Ferrari F12 Berlinetta (foreign used), a premium coupe well suited to weekend drives and spirited handling — a good fit for lifestyle-focused drivers. A solid pick for luxury lovers who want a standout badge.",
F12 Berlinetta,Ferrari,2014,381500,174047,Gasoline,Automatic,Coupe,foreign_used,4,White,,"2014 Ferrari F12 Berlinetta (foreign used), a premium coupe well suited to weekend drives and spirited handling — a good fit for lifestyle-focused drivers. A solid pick for luxury lovers who want a standout badge.",
F12 Berlinetta,Ferrari,2015,477000,108030,Gasoline,Automatic,Coupe,foreign_used,4,Black,,"2015 Ferrari F12 Berlinetta (foreign used), a premium coupe well suited to weekend drives and spirited handling — a good fit for lifestyle-focused drivers. A solid pick for luxury lovers who want a standout badge.",
F430,Ferrari,2007,266500,279327,Gasoline,Manual,Coupe,foreign_used,4,Gray,,"2007 Ferrari F430 (foreign used), a well-priced coupe well suited to weekend drives and spirited handling — a good fit for lifestyle-focused drivers.",
SLX,Acura,1999,141000,280000,Gasoline,Automatic,SUV,foreign_used,7,Gray,Leather Seats; All-Wheel Drive,"1999 Acura SLX (foreign used), a budget-friendly suv well suited to family trips and weekend getaways — a good fit for family-oriented drivers. Comes with leather seats.",
Solstice,Pontiac,2007,237500,192105,Gasoline,Manual,Convertible,foreign_used,4,Black,,"2007 Pontiac Solstice (foreign used), a budget-friendly convertible well suited to weekend adventures and open-top cruising — a good fit for adventure seekers and luxury lovers.",
Solstice,Pontiac,2008,249500,220525,Gasoline,Manual,Convertible,local_used,4,Red,,"2008 Pontiac Solstice (locally used), a budget-friendly convertible well suited to weekend adventures and open-top cruising — a good fit for adventure seekers and luxury lovers.",
SLS AMG GT,Mercedes-Benz,2014,355000,170852,Gasoline,Automatic,Coupe,foreign_used,4,White,Leather Seats,"2014 Mercedes-Benz SLS AMG GT (foreign used), a premium coupe well suited to weekend drives and spirited handling — a good fit for lifestyle-focused drivers. Comes with leather seats. A solid pick for luxury lovers who want a standout badge.",
SLS AMG,Mercedes-Benz,2011,300500,200900,Gasoline,Automatic,Coupe,foreign_used,4,Silver,Leather Seats,"2011 Mercedes-Benz SLS AMG (foreign used), a well-priced coupe well suited to weekend drives and spirited handling — a good fit for lifestyle-focused drivers. Comes with leather seats.",
SLS AMG,Mercedes-Benz,2012,332500,193751,Gasoline,Automatic,Coupe,foreign_used,4,Gray,Leather Seats,"2012 Mercedes-Benz SLS AMG (foreign used), a well-priced coupe well suited to weekend drives and spirited handling — a good fit for lifestyle-focused drivers. Comes with leather seats.",
SLX,Acura,1997,144000,280000,Gasoline,Automatic,SUV,local_used,7,Gray,Leather Seats; All-Wheel Drive,"1997 Acura SLX (locally used), a budget-friendly suv well suited to family trips and weekend getaways — a good fit for family-oriented drivers. Comes with leather seats.",
SLX,Acura,1998,157500,280000,Gasoline,Automatic,SUV,local_used,7,Gray,Leather Seats; All-Wheel Drive,"1998 Acura SLX (locally used), a budget-friendly suv well suited to family trips and weekend getaways — a good fit for family-oriented drivers. Comes with leather seats.",
SLR McLaren,Mercedes-Benz,2007,281500,267808,Gasoline,Automatic,Coupe,foreign_used,4,Black,Leather Seats,"2007 Mercedes-Benz SLR McLaren (foreign used), a well-priced coupe well suited to weekend drives and spirited handling — a good fit for lifestyle-focused drivers. Comes with leather seats.",
SLR McLaren,Mercedes-Benz,2008,616000,188964,Gasoline,Automatic,Convertible,foreign_used,4,White,Leather Seats,"2008 Mercedes-Benz SLR McLaren (foreign used), a well-priced convertible well suited to weekend adventures and open-top cruising — a good fit for adventure seekers and luxury lovers. Comes with leather seats.",
SLR McLaren,Mercedes-Benz,2009,580000,202921,Gasoline,Automatic,Convertible,foreign_used,4,Silver,Leather Seats,"2009 Mercedes-Benz SLR McLaren (foreign used), a well-priced convertible well suited to weekend adventures and open-top cruising — a good fit for adventure seekers and luxury lovers. Comes with leather seats.",
SLS AMG GT Final Edition,Mercedes-Benz,2015,438000,113600,Gasoline,Automatic,Coupe,local_used,4,Silver,Leather Seats,"2015 Mercedes-Benz SLS AMG GT Final Edition (locally used), a premium coupe well suited to weekend drives and spirited handling — a good fit for lifestyle-focused drivers. Comes with leather seats. A solid pick for luxury lovers who want a standout badge.",
SLS AMG GT,Mercedes-Benz,2013,320500,194038,Gasoline,Automatic,Coupe,foreign_used,4,White,Leather Seats,"2013 Mercedes-Benz SLS AMG GT (foreign used), a well-priced coupe well suited to weekend drives and spirited handling — a good fit for lifestyle-focused drivers. Comes with leather seats.",
SLK-Class,Mercedes-Benz,2014,609000,175972,Gasoline,Automatic,Convertible,foreign_used,4,Gray,Leather Seats,"2014 Mercedes-Benz SLK-Class (foreign used), a well-priced convertible well suited to weekend adventures and open-top cruising — a good fit for adventure seekers and luxury lovers. Comes with leather seats.",
SLK-Class,Mercedes-Benz,2015,722500,101602,Gasoline,Manual,Convertible,foreign_used,4,Black,Leather Seats,"2015 Mercedes-Benz SLK-Class (foreign used), a premium convertible well suited to weekend adventures and open-top cruising — a good fit for adventure seekers and luxury lovers. Comes with leather seats. A solid pick for luxury lovers who want a standout badge.",
SLK-Class,Mercedes-Benz,2016,758500,132335,Gasoline,Automatic,Convertible,foreign_used,4,Gray,Leather Seats,"2016 Mercedes-Benz SLK-Class (foreign used), a premium convertible well suited to weekend adventures and open-top cruising — a good fit for adventure seekers and luxury lovers. Comes with leather seats. A solid pick for luxury lovers who want a standout badge.",
Fiesta,Ford,2015,75000,160066,Gasoline,Manual,Hatchback,local_used,5,Blue,,"2015 Ford Fiesta (locally used), a well-priced hatchback well suited to quick city runs and easy parking — a good fit for budget-conscious buyers.",
Fiesta,Ford,2016,88500,100835,Gasoline,Manual,Hatchback,foreign_used,5,White,,"2016 Ford Fiesta (foreign used), a well-priced hatchback well suited to quick city runs and easy parking — a good fit for budget-conscious buyers.",
FF,Ferrari,2013,374500,161300,Gasoline,Automatic,Coupe,foreign_used,4,White,All-Wheel Drive,"2013 Ferrari FF (foreign used), a premium coupe well suited to weekend drives and spirited handling — a good fit for lifestyle-focused drivers. Comes with all-wheel drive. A solid pick for luxury lovers who want a standout badge.",
FF,Ferrari,2014,371500,173915,Gasoline,Automatic,Coupe,foreign_used,4,Gray,All-Wheel Drive,"2014 Ferrari FF (foreign used), a premium coupe well suited to weekend drives and spirited handling — a good fit for lifestyle-focused drivers. Comes with all-wheel drive. A solid pick for luxury lovers who want a standout badge.",
FF,Ferrari,2015,511000,101240,Gasoline,Automatic,Coupe,local_used,4,Silver,All-Wheel Drive,"2015 Ferrari FF (locally used), a premium coupe well suited to weekend drives and spirited handling — a good fit for lifestyle-focused drivers. Comes with all-wheel drive. A solid pick for luxury lovers who want a standout badge.",
F430,Ferrari,2009,277000,224137,Gasoline,Manual,Coupe,local_used,4,Gray,,"2009 Ferrari F430 (locally used), a well-priced coupe well suited to weekend drives and spirited handling — a good fit for lifestyle-focused drivers.",
Festiva,Ford,1991,26000,280000,Gasoline,Manual,Hatchback,foreign_used,5,Blue,,"1991 Ford Festiva (foreign used), a budget-friendly hatchback well suited to quick city runs and easy parking — a good fit for budget-conscious buyers.",
Festiva,Ford,1992,25500,280000,Gasoline,Manual,Hatchback,foreign_used,5,Blue,,"1992 Ford Festiva (foreign used), a budget-friendly hatchback well suited to quick city runs and easy parking — a good fit for budget-conscious buyers.",
Festiva,Ford,1993,29500,280000,Gasoline,Manual,Hatchback,local_used,5,Yellow,,"1993 Ford Festiva (locally used), a budget-friendly hatchback well suited to quick city runs and easy parking — a good fit for budget-conscious buyers.",
F430,Ferrari,2008,294500,263981,Gasoline,Automatic,Coupe,foreign_used,4,Silver,,"2008 Ferrari F430 (foreign used), a well-priced coupe well suited to weekend drives and spirited handling — a good fit for lifestyle-focused drivers.",
Fit EV,Honda,2014,90500,142143,Electric,Automatic,Hatchback,foreign_used,5,Silver,,"2014 Honda Fit EV (foreign used), a well-priced hatchback well suited to quick city runs and easy parking — a good fit for budget-conscious buyers. A electric powertrain keeps running costs low for eco-conscious drivers.",
Fit,Honda,2015,76000,155895,Gasoline,Manual,Hatchback,foreign_used,5,Black,,"2015 Honda Fit (foreign used), a well-priced hatchback well suited to quick city runs and easy parking — a good fit for budget-conscious buyers.",
Fit,Honda,2016,98500,140673,Gasoline,Automatic,Hatchback,local_used,5,White,,"2016 Honda Fit (locally used), a well-priced hatchback well suited to quick city runs and easy parking — a good fit for budget-conscious buyers.",
Firebird,Pontiac,2001,43000,272865,Gasoline,Manual,Hatchback,foreign_used,5,Silver,,"2001 Pontiac Firebird (foreign used), a budget-friendly hatchback well suited to quick city runs and easy parking — a good fit for budget-conscious buyers.",
Firebird,Pontiac,2002,209500,280000,Gasoline,Automatic,Convertible,local_used,4,Black,,"2002 Pontiac Firebird (locally used), a budget-friendly convertible well suited to weekend adventures and open-top cruising — a good fit for adventure seekers and luxury lovers.",
Fit EV,Honda,2013,91500,119887,Electric,Automatic,Hatchback,foreign_used,5,Red,,"2013 Honda Fit EV (foreign used), a well-priced hatchback well suited to quick city runs and easy parking — a good fit for budget-conscious buyers. A electric powertrain keeps running costs low for eco-conscious drivers.",
Firebird,Pontiac,2000,39500,280000,Gasoline,Manual,Hatchback,foreign_used,5,Silver,,"2000 Pontiac Firebird (foreign used), a budget-friendly hatchback well suited to quick city runs and easy parking — a good fit for budget-conscious buyers.",
Fiesta,Ford,2017,88000,93420,Gasoline,Manual,Hatchback,foreign_used,5,Silver,,"2017 Ford Fiesta (foreign used), a well-priced hatchback well suited to quick city runs and easy parking — a good fit for budget-conscious buyers.",
Fit,Honda,2017,110500,87511,Gasoline,Manual,Hatchback,foreign_used,5,Black,,"2017 Honda Fit (foreign used), a premium hatchback well suited to quick city runs and easy parking — a good fit for budget-conscious buyers.",
SL-Class,Mercedes-Benz,2016,913000,94617,Gasoline,Automatic,Convertible,foreign_used,4,White,Leather Seats,"2016 Mercedes-Benz SL-Class (foreign used), a premium convertible well suited to weekend adventures and open-top cruising — a good fit for adventure seekers and luxury lovers. Comes with leather seats. A solid pick for luxury lovers who want a standout badge.",
SL-Class,Mercedes-Benz,2017,866500,118600,Gasoline,Automatic,Convertible,foreign_used,4,White,Leather Seats,"2017 Mercedes-Benz SL-Class (foreign used), a premium convertible well suited to weekend adventures and open-top cruising — a good fit for adventure seekers and luxury lovers. Comes with leather seats. A solid pick for luxury lovers who want a standout badge.",
SLC-Class,Mercedes-Benz,2017,850000,99353,Gasoline,Automatic,Convertible,foreign_used,4,Black,Leather Seats,"2017 Mercedes-Benz SLC-Class (foreign used), a premium convertible well suited to weekend adventures and open-top cruising — a good fit for adventure seekers and luxury lovers. Comes with leather seats. A solid pick for luxury lovers who want a standout badge.",
SL-Class,Mercedes-Benz,2015,720500,146835,Gasoline,Automatic,Convertible,local_used,4,White,Leather Seats,"2015 Mercedes-Benz SL-Class (locally used), a premium convertible well suited to weekend adventures and open-top cruising — a good fit for adventure seekers and luxury lovers. Comes with leather seats. A solid pick for luxury lovers who want a standout badge.",
Sixty Special,Cadillac,1993,85500,280000,Gasoline,Automatic,Sedan,local_used,5,Silver,Leather Seats,"1993 Cadillac Sixty Special (locally used), a budget-friendly sedan well suited to daily commuting and city driving — a good fit for urban professionals. Comes with leather seats.",
Silverado 1500,Chevrolet,2017,384000,98026,Gasoline,Automatic,Truck,foreign_used,2,Red,All-Wheel Drive,"2017 Chevrolet Silverado 1500 (foreign used), a premium truck well suited to hauling and rough roads — a good fit for adventure seekers. Comes with all-wheel drive.",
Flex,Ford,2017,387000,110133,Gasoline,Automatic,Wagon,foreign_used,5,Red,All-Wheel Drive,"2017 Ford Flex (foreign used), a premium wagon well suited to family trips with plenty of cargo room — a good fit for family-oriented drivers. Comes with all-wheel drive.",
Flying Spur,Bentley,2014,277000,164932,Gasoline,Automatic,Sedan,foreign_used,5,Gray,Leather Seats; All-Wheel Drive,"2014 Bentley Flying Spur (foreign used), a premium sedan well suited to daily commuting and city driving — a good fit for urban professionals. Comes with leather seats. A solid pick for luxury lovers who want a standout badge.",
Flying Spur,Bentley,2015,355500,120038,Gasoline,Automatic,Sedan,foreign_used,5,White,Leather Seats; All-Wheel Drive,"2015 Bentley Flying Spur (foreign used), a premium sedan well suited to daily commuting and city driving — a good fit for urban professionals. Comes with leather seats. A solid pick for luxury lovers who want a standout badge.",
Flying Spur,Bentley,2016,331500,127553,Gasoline,Automatic,Sedan,local_used,5,Blue,Leather Seats; All-Wheel Drive,"2016 Bentley Flying Spur (locally used), a premium sedan well suited to daily commuting and city driving — a good fit for urban professionals. Comes with leather seats. A solid pick for luxury lovers who want a standout badge.",
Focus RS,Ford,2017,106500,128843,Gasoline,Manual,Hatchback,foreign_used,5,Red,All-Wheel Drive,"2017 Ford Focus RS (foreign used), a well-priced hatchback well suited to quick city runs and easy parking — a good fit for budget-conscious buyers. Comes with all-wheel drive.",
Focus ST,Ford,2015,91500,139647,Gasoline,Manual,Hatchback,foreign_used,5,White,,"2015 Ford Focus ST (foreign used), a well-priced hatchback well suited to quick city runs and easy parking — a good fit for budget-conscious buyers.",
Flex,Ford,2016,332000,103978,Gasoline,Automatic,Wagon,local_used,5,Gray,All-Wheel Drive,"2016 Ford Flex (locally used), a premium wagon well suited to family trips with plenty of cargo room — a good fit for family-oriented drivers. Comes with all-wheel drive.",
Flex,Ford,2015,297000,100610,Gasoline,Automatic,Wagon,foreign_used,5,Black,,"2015 Ford Flex (foreign used), a premium wagon well suited to family trips with plenty of cargo room — a good fit for family-oriented drivers.",
Fleetwood,Cadillac,1994,85000,280000,Gasoline,Automatic,Sedan,foreign_used,5,Blue,Leather Seats,"1994 Cadillac Fleetwood (foreign used), a budget-friendly sedan well suited to daily commuting and city driving — a good fit for urban professionals. Comes with leather seats.",
Fleetwood,Cadillac,1995,93500,280000,Gasoline,Automatic,Sedan,foreign_used,5,Orange,Leather Seats,"1995 Cadillac Fleetwood (foreign used), a budget-friendly sedan well suited to daily commuting and city driving — a good fit for urban professionals. Comes with leather seats.",
Fleetwood,Cadillac,1996,99000,280000,Gasoline,Automatic,Sedan,foreign_used,5,White,Leather Seats,"1996 Cadillac Fleetwood (foreign used), a budget-friendly sedan well suited to daily commuting and city driving — a good fit for urban professionals. Comes with leather seats.",
Focus,Ford,2017,168500,109563,Gasoline,Manual,Sedan,foreign_used,5,Red,,"2017 Ford Focus (foreign used), a well-priced sedan well suited to daily commuting and city driving — a good fit for urban professionals.",
Focus,Ford,2016,164500,146344,Gasoline,Manual,Sedan,local_used,5,Silver,,"2016 Ford Focus (locally used), a well-priced sedan well suited to daily commuting and city driving — a good fit for urban professionals.",
Focus ST,Ford,2016,92000,137927,Gasoline,Manual,Hatchback,local_used,5,Yellow,,"2016 Ford Focus ST (locally used), a well-priced hatchback well suited to quick city runs and easy parking — a good fit for budget-conscious buyers.",
Focus ST,Ford,2017,97500,134888,Gasoline,Manual,Hatchback,foreign_used,5,Silver,,"2017 Ford Focus ST (foreign used), a well-priced hatchback well suited to quick city runs and easy parking — a good fit for budget-conscious buyers.",
Focus,Ford,2015,146500,122147,Gasoline,Manual,Sedan,local_used,5,Blue,,"2015 Ford Focus (locally used), a well-priced sedan well suited to daily commuting and city driving — a good fit for urban professionals.",
Forester,Subaru,2015,200500,149634,Gasoline,Automatic,SUV,foreign_used,7,White,All-Wheel Drive,"2015 Subaru Forester (foreign used), a well-priced suv well suited to family trips and weekend getaways — a good fit for family-oriented drivers. Comes with all-wheel drive.",
Silverado 1500,Chevrolet,2016,352500,114116,Gasoline,Automatic,Truck,local_used,2,Black,,"2016 Chevrolet Silverado 1500 (locally used), a premium truck well suited to hauling and rough roads — a good fit for adventure seekers.",
Forte,Kia,2015,234500,130672,Gasoline,Manual,Coupe,foreign_used,4,White,,"2015 Kia Forte (foreign used), a well-priced coupe well suited to weekend drives and spirited handling — a good fit for lifestyle-focused drivers.",
Forte,Kia,2016,251500,127650,Gasoline,Manual,Coupe,local_used,4,Yellow,,"2016 Kia Forte (locally used), a well-priced coupe well suited to weekend drives and spirited handling — a good fit for lifestyle-focused drivers.",
Forester,Subaru,2017,233500,128179,Gasoline,Automatic,SUV,local_used,7,Blue,All-Wheel Drive,"2017 Subaru Forester (locally used), a well-priced suv well suited to family trips and weekend getaways — a good fit for family-oriented drivers. Comes with all-wheel drive.",
Forester,Subaru,2016,219000,149045,Gasoline,Automatic,SUV,foreign_used,7,Blue,All-Wheel Drive,"2016 Subaru Forester (foreign used), a well-priced suv well suited to family trips and weekend getaways — a good fit for family-oriented drivers. Comes with all-wheel drive.",
FR-S,Scion,2015,210500,149706,Gasoline,Automatic,Coupe,local_used,4,Red,,"2015 Scion FR-S (locally used), a well-priced coupe well suited to weekend drives and spirited handling — a good fit for lifestyle-focused drivers.",
FR-S,Scion,2016,237500,115066,Gasoline,Manual,Coupe,local_used,4,White,,"2016 Scion FR-S (locally used), a well-priced coupe well suited to weekend drives and spirited handling — a good fit for lifestyle-focused drivers.",
Freelander,Land Rover,2003,168000,265147,Gasoline,Automatic,SUV,local_used,7,Black,Leather Seats; All-Wheel Drive,"2003 Land Rover Freelander (locally used), a budget-friendly suv well suited to family trips and weekend getaways — a good fit for family-oriented drivers. Comes with leather seats.",
FR-S,Scion,2014,193000,161106,Gasoline,Manual,Coupe,foreign_used,4,White,,"2014 Scion FR-S (foreign used), a well-priced coupe well suited to weekend drives and spirited handling — a good fit for lifestyle-focused drivers.",
Forte,Kia,2017,96500,93894,Gasoline,Automatic,Hatchback,local_used,5,White,,"2017 Kia Forte (locally used), a well-priced hatchback well suited to quick city runs and easy parking — a good fit for budget-conscious buyers.",
Silverado 1500,Chevrolet,2015,303000,106291,Gasoline,Automatic,Truck,local_used,2,White,,"2015 Chevrolet Silverado 1500 (locally used), a premium truck well suited to hauling and rough roads — a good fit for adventure seekers.",
Freestyle,Ford,2005,180000,233682,Gasoline,Automatic,Wagon,foreign_used,5,Silver,,"2005 Ford Freestyle (foreign used), a well-priced wagon well suited to family trips with plenty of cargo room — a good fit for family-oriented drivers.",
Freestyle,Ford,2006,172000,214469,Gasoline,Automatic,Wagon,local_used,5,Black,All-Wheel Drive,"2006 Ford Freestyle (locally used), a well-priced wagon well suited to family trips with plenty of cargo room — a good fit for family-oriented drivers. Comes with all-wheel drive.",
Freelander,Land Rover,2004,180500,237113,Gasoline,Automatic,SUV,foreign_used,7,White,Leather Seats; All-Wheel Drive,"2004 Land Rover Freelander (foreign used), a budget-friendly suv well suited to family trips and weekend getaways — a good fit for family-oriented drivers. Comes with leather seats.",
Freelander,Land Rover,2005,190000,218435,Gasoline,Automatic,SUV,foreign_used,7,White,Leather Seats; All-Wheel Drive,"2005 Land Rover Freelander (foreign used), a well-priced suv well suited to family trips and weekend getaways — a good fit for family-oriented drivers. Comes with leather seats.",
Freestyle,Ford,2007,215000,175799,Gasoline,Automatic,Wagon,foreign_used,5,White,All-Wheel Drive,"2007 Ford Freestyle (foreign used), a well-priced wagon well suited to family trips with plenty of cargo room — a good fit for family-oriented drivers. Comes with all-wheel drive.",
Silverado 1500 Hybrid,Chevrolet,2013,302500,118394,Gasoline,Automatic,Truck,foreign_used,2,Yellow,All-Wheel Drive,"2013 Chevrolet Silverado 1500 Hybrid (foreign used), a premium truck well suited to hauling and rough roads — a good fit for adventure seekers. Comes with all-wheel drive.",
Silverado 1500 Hybrid,Chevrolet,2011,237000,223895,Gasoline,Automatic,Truck,foreign_used,2,Gray,All-Wheel Drive,"2011 Chevrolet Silverado 1500 Hybrid (foreign used), a well-priced truck well suited to hauling and rough roads — a good fit for adventure seekers. Comes with all-wheel drive.",
Silverado 1500 Hybrid,Chevrolet,2012,303000,161933,Gasoline,Automatic,Truck,foreign_used,2,Yellow,All-Wheel Drive,"2012 Chevrolet Silverado 1500 Hybrid (foreign used), a premium truck well suited to hauling and rough roads — a good fit for adventure seekers. Comes with all-wheel drive.",
Silverado 1500 Classic,Chevrolet,2007,177500,214813,Gasoline,Automatic,Truck,local_used,2,Black,All-Wheel Drive,"2007 Chevrolet Silverado 1500 Classic (locally used), a well-priced truck well suited to hauling and rough roads — a good fit for adventure seekers. Comes with all-wheel drive.",
Fusion Hybrid,Ford,2017,188500,117701,Gasoline,Automatic,Sedan,foreign_used,5,Black,,"2017 Ford Fusion Hybrid (foreign used), a well-priced sedan well suited to daily commuting and city driving — a good fit for urban professionals.",
Fusion,Ford,2015,162000,113405,Gasoline,Automatic,Sedan,foreign_used,5,Blue,All-Wheel Drive,"2015 Ford Fusion (foreign used), a well-priced sedan well suited to daily commuting and city driving — a good fit for urban professionals. Comes with all-wheel drive.",
Fusion Hybrid,Ford,2015,151500,161697,Gasoline,Automatic,Sedan,foreign_used,5,Black,,"2015 Ford Fusion Hybrid (foreign used), a well-priced sedan well suited to daily commuting and city driving — a good fit for urban professionals.",
Fusion Hybrid,Ford,2016,165500,137181,Gasoline,Automatic,Sedan,foreign_used,5,Black,,"2016 Ford Fusion Hybrid (foreign used), a well-priced sedan well suited to daily commuting and city driving — a good fit for urban professionals.",
